accepting,user acceptance testing,_ is an independent test performed by end users prior to accepting the delivered system
continuous,iso 9000,_ a quality system standard is a three-part continuous cycle of planning controlling and documenting quality in an organization
well,performance,_ addresses how well a product or service performs the customers intended use
ease,maintainability,_ addresses the ease of performing maintenance on a product
simulates,monte carlo,_ analysis simulates a model’s outcome many times to provide a statistical distribution of the calculated results
applies,risk acceptance,_ applies to positive risks when the project team cannot or chooses not to take any actions toward a risk
_ predefined,contingency plans,_ are predefined actions that the project team will take if an identified risk event occurs
special,features,_ are the system’s special characteristics that appeal to users
difficult,intangible costs,_ are those costs that are difficult to measure in monetary terms
unplanned,workarounds,_ are unplanned responses to risk events used when project teams do not have contingency plans in place
maintains,top ten risk item tracking,_ are or is a qualitative risk analysis tool that maintains an awareness of risks throughout the life of a project in addition to identifying risks
corrects,process adjustments,_ corrects or prevents further quality problems based on quality control measurements
sometimes,discretionary,_ dependencies are sometimes referred to as soft logic and should be used with care because they may limit later scheduling options
generates,benchmarking,_ generates ideas for quality improvements by comparing specific project practices or product characteristics to those of other projects or products within or outside the performing organization
vital,pareto charts,_ help users to identify the vital few contributors that account for most quality problems in a system
develop,life cycle costing,_ helps develop an accurate projection of a project’s financial expenses and benefits
integrate,cmmi,_ helps integrate traditionally separate organizational functions set process improvement goals and priorities provide guidance for quality processes and provide a point of reference for appraising current processes
completes,project cost management,_ includes the processes required to ensure that a project team completes a project within an approved budget
ownership,risk sharing,_ involves allocating ownership of the risk to another party
establish,determining the budget,_ involves allocating the overall cost estimate to individual work items to establish a baseline for measuring performance
opportunity,risk enhancement,_ involves changing the size of the opportunity by identifying and maximizing key drivers of the positive risk
choosing,statistical sampling,_ involves choosing part of a population of interest for inspection
_ deciding,planning risk management,_ involves deciding how to approach and plan the risk management activities for the project
affect,identifying risks,_ involves determining which risks are likely to affect a project and documenting the characteristics of each
whatever,risk exploitation,_ involves doing whatever you can to make sure the positive risk happens
threat,risk avoidance,_ involves eliminating a specific threat usually by eliminating its causes
residual,controlling risk,_ involves monitoring identified and residual risks identifying new risks carrying out risk response plans and evaluating the effectiveness of risk strategies throughout the life of the project
numerically,performing quantitative risk analysis,_ involves numerically estimating the effects of risks on project objectives
prioritizing,performing qualitative risk analysis,_ involves prioritizing risks based on their probability and impact of occurrence
_ by,risk mitigation,_ involves reducing the impact of a risk event by reducing the probability of its occurrence
shifting,risk transference,_ involves shifting the consequence of a risk and responsibility for its management to a third party
enhance,planning risk responses,_ involves taking steps to enhance opportunities and reduce threats to meeting project objectives
relates,external failure cost,_ is a cost that relates to all errors not detected and not corrected before delivery to the customer
fact,interviewing,_ is a fact-finding technique that can be used for collecting information in face-to-face phone e-mail or instant-messaging discussions
estimated,cash flow analysis,_ is a method for determining the estimated annual costs and benefits for a project
_ technique,design of experiments,_ is a technique that helps identify which variables have the most influence on the overall outcome of a process
normal,reliability,_ is the ability of a product or service to perform as expected under normal conditions
_ amount,total slack,_ is the amount of time an activity can be delayed from its early start without delaying the planned project finish date
acceptable,appraisal cost,_ is the cost of evaluating processes and their outputs to ensure that a project is error-free or within an acceptable error range
function,functionality,_ is the degree to which a system performs its intended function
was,fitness for use,_ means that a product can be used as it was intended
written,conformance to requirements,_ means the project’s processes and products meet written specifications
provides,gantt charts,_ provides a standard format for displaying project schedule information by listing project activities and their corresponding start and finish dates in a calendar format
refers,rework,_ refers to action taken to bring rejected items into compliance with product requirements or specifications or other stakeholder expectations
implementing,secondary,_ risks refer to those that are direct results of implementing risk responses
expands,parkinson’s law,_ states that work expands to fill the time allowed
uses,parametric estimating,_ uses project characteristics in a mathematical model to estimate project costs
wrote,crosby,_ wrote quality is free in 1979 and is best known for suggesting that organizations strive for zero defects
bell,normal distribution,a _ is a bell-shaped curve that is symmetrical regarding the average value of the population the data being analyzed
purchasing,definitive,a _ estimate is used for making many purchasing decisions for which accurate estimates are required and for estimating final project costs
graphic,control chart,a _ is a graphic display of data that illustrates the results of a process over time
measurement,metric,a _ is a standard of measurement in quality management
show,sensitivity analysis,a _ is a technique used to show the effects of changing one or more variables on an outcome
achieves,risk-neutral,a _ person achieves a balance between risk and payoff
backward,false,a backward pass through the network diagram determines the early start and early finish dates for each activity
a budgetary,false,a budgetary estimate is the most accurate of the three types of estimates
summing,bottom-up,a cost estimation tool which involves estimating individual work items or activities and summing them to get a project total is known as an _ estimate
allocate,budgetary,a cost estimation tool which is used to allocate money into an organization’s budget is known as a _ estimate
procedures,true,a cost management plan can include organizational procedures links control thresholds and process descriptions
pertains,true,a dependency pertains to the sequencing of project activities or tasks
evaluation,pert uses different duration estimates whereas cpm uses one specific duration estimate,a difference between the program evaluation and review technique pert and critical path method cpm is that
